Exiting
         839940 function calls (834012 primitive calls) in 9.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.013    0.000 re.py:234(compile)
        1    0.000    0.000    0.013    0.013 _pickle.py:1(<module>)
        1    0.000    0.000    0.012    0.012 xorg.py:38(_check_and_initialize)
        1    0.000    0.000    0.012    0.012 subprocess.py:42(<module>)
    42/32    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    42/32    0.002    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
      223    0.011    0.000    0.011    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.009    0.009 __init__.py:180(wait)
        1    0.000    0.000    0.009    0.009 fromnumeric.py:3(<module>)
      562    0.009    0.000    0.009    0.000 utils.py:93(draw)
       21    0.000    0.000    0.008    0.000 XK.py:36(load_keysym_group)
       36    0.000    0.000    0.008    0.000 sre_parse.py:913(parse)
        1    0.000    0.000    0.008    0.008 npyio.py:1(<module>)
        1    0.000    0.000    0.008    0.008 defchararray.py:17(<module>)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
        1    0.000    0.000    0.007    0.007 display.py:25(<module>)
   121/36    0.000    0.000    0.007    0.000 sre_parse.py:411(_parse_sub)
   138/40    0.003    0.000    0.007    0.000 sre_parse.py:469(_parse)
      270    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.007    0.007 core.py:21(<module>)
     2652    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      290    0.002    0.000    0.007    0.000 overrides.py:93(verify_matching_signatures)
    37825    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.006    0.006 secrets.py:7(<module>)
       13    0.003    0.000    0.006    0.000 enum.py:140(__new__)
        1    0.000    0.000    0.006    0.006 __init__.py:4(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:3(<module>)
        5    0.000    0.000    0.006    0.001 __init__.py:1(<module>)
