Exiting
         839940 function calls (834012 primitive calls) in 9.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 enum.py:841(__and__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
     1245    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
      711    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
     1315    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1210    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 xinerama.py:35(<module>)
      670    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      679    0.000    0.000    0.000    0.000 multiarray.py:321(where)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
      305    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 xorg.py:420(_stop_platform)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      298    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.000    0.000 _base.py:162(Key)
        1    0.000    0.000    0.000    0.000 dpms.py:28(<module>)
        1    0.000    0.000    0.000    0.000 composite.py:34(<module>)
        1    0.000    0.000    0.000    0.000 _xorg.py:134(__init__)
     1080    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        1    0.000    0.000    0.000    0.000 xorg_keysyms.py:1707(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _base.py:252(__init__)
      262    0.000    0.000    0.000    0.000 rq.py:294(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:93(_add_aliases)
        1    0.000    0.000    0.000    0.000 xtest.py:22(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       60    0.000    0.000    0.000    0.000 _xorg.py:75(_from_symbol)
      530    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      113    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      521    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2521(extend_all)
        1    0.000    0.000    0.000    0.000 damage.py:23(<module>)
      419    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      366    0.000    0.000    0.000    0.000 typing.py:595(_is_dunder)
      752    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 threading.py:763(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:130(__prepare__)
        1    0.000    0.000    0.000    0.000 xfixes.py:26(<module>)
        2    0.000    0.000    0.000    0.000 connect.py:90(get_auth)
      109    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      336    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
      180    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       11    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 xorg.py:55(display_manager)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:353(_get_scalar_type_map)
      336    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:364(<dictcomp>)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        8    0.000    0.000    0.000    0.000 display.py:294(extension_add_event)
      320    0.000    0.000    0.000    0.000 overrides.py:145(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 display.py:176(sync)
        2    0.000    0.000    0.000    0.000 rq.py:791(parse_binary_value)
       12    0.000    0.000    0.000    0.000 display.py:317(extension_add_subevent)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 xorg_keysyms.py:1712(<dictcomp>)
        1    0.000    0.000    0.000    0.000 display.py:822(get_pointer_control)
     1467    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
      498    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
    22/12    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:479(_find_new_)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:140(EventType)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       49    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      348    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      349    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
      347    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      350    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       34    0.000    0.000    0.000    0.000 enum.py:447(_get_mixins_)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      711    0.000    0.000    0.000    0.000 rq.py:1070(<listcomp>)
        2    0.000    0.000    0.000    0.000 connect.py:76(get_socket)
       11    0.000    0.000    0.000    0.000 typing.py:749(__getitem__)
       69    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       50    0.000    0.000    0.000    0.000 _internal.py:780(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 hermite.py:77(<module>)
      245    0.000    0.000    0.000    0.000 XK.py:28(string_to_keysym)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:5(<module>)
        1    0.000    0.000    0.000    0.000 structs.py:23(<module>)
      305    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:57(bitname)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 security.py:26(<module>)
  157/156    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      274    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       76    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        2    0.000    0.000    0.000    0.000 unix_connect.py:135(new_get_auth)
        2    0.000    0.000    0.000    0.000 xfixes.py:134(init)
       21    0.000    0.000    0.000    0.000 __init__.py:589(_genericPyAutoGUIChecks)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
      255    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:71(inner)
       95    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 _xorg.py:492(Listener)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
      415    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       60    0.000    0.000    0.000    0.000 _base.py:127(from_vk)
        1    0.000    0.000    0.000    0.000 __init__.py:122(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:765(__getitem_inner__)
    46/34    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       36    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       97    0.000    0.000    0.000    0.000 rq.py:216(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
      105    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       73    0.000    0.000    0.000    0.000 _base.py:90(__hash__)
        1    0.000    0.000    0.000    0.000 {resizeWindow}
       74    0.000    0.000    0.000    0.000 enum.py:531(__new__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 shape.py:286(init)
        2    0.000    0.000    0.000    0.000 structs.py:48(GCValues)
        1    0.000    0.000    0.000    0.000 chebyshev.py:109(<module>)
        2    0.000    0.000    0.000    0.000 xauth.py:33(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:824(__class_getitem__)
      380    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 damage.py:159(init)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        2    0.000    0.000    0.000    0.000 random.py:88(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6436(__new__)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       54    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      133    0.000    0.000    0.000    0.000 display.py:222(__getattr__)
        5    0.000    0.000    0.000    0.000 typing.py:638(copy_with)
       69    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.000    0.000    0.000    0.000 os.py:676(__getitem__)
      863    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        1    0.000    0.000    0.000    0.000 ge.py:25(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(_logger)
        1    0.000    0.000    0.000    0.000 event.py:126(GraphicsExpose)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8096(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:458(_find_data_type)
        1    0.000    0.000    0.000    0.000 hermite_e.py:77(<module>)
        1    0.000    0.000    0.000    0.000 request.py:740(ListFontsWithInfo)
      513    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        2    0.000    0.000    0.000    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f927420aa70}
       76    0.000    0.000    0.000    0.000 _base.py:46(__init__)
      210    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       99    0.000    0.000    0.000    0.000 enum.py:664(<lambda>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 laguerre.py:77(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        2    0.000    0.000    0.000    0.000 unix_connect.py:101(get_socket)
       14    0.000    0.000    0.000    0.000 mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 legendre.py:81(<module>)
       56    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        2    0.000    0.000    0.000    0.000 xinput.py:642(init)
       92    0.000    0.000    0.000    0.000 rq.py:497(__init__)
        1    0.000    0.000    0.000    0.000 xtest.py:74(FakeInput)
        6    0.000    0.000    0.000    0.000 rq.py:730(__init__)
        1    0.000    0.000    0.000    0.000 icccm.py:22(<module>)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8101(getdoc)
      640    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 __init__.py:574(Misc)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
       78    0.000    0.000    0.000    0.000 rq.py:359(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:5984(refer_to_array_attribute)
        2    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       18    0.000    0.000    0.000    0.000 subprocess.py:1471(<genexpr>)
        1    0.000    0.000    0.000    0.000 request.py:876(ChangeGC)
        7    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        5    0.000    0.000    0.000    0.000 {built-in method io.open}
      101    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       49    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        2    0.000    0.000    0.000    0.000 structs.py:28(WindowValues)
        1    0.000    0.000    0.000    0.000 numerictypes.py:590(_register_types)
        1    0.000    0.000    0.000    0.000 _xorg.py:499(<dictcomp>)
       44    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        2    0.000    0.000    0.000    0.000 ge.py:109(init)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       28    0.000    0.000    0.000    0.000 rq.py:424(pack_value)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
        1    0.000    0.000    0.000    0.000 os.py:1006(close)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 fontable.py:22(<module>)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 request.py:31(CreateWindow)
        6    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
       99    0.000    0.000    0.000    0.000 types.py:164(__get__)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       30    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        1    0.000    0.000    0.000    0.000 request.py:405(GrabButton)
      3/2    0.000    0.000    0.000    0.000 typing.py:340(__getitem__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        7    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:499(__init__)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:626(__getitem__)
        1    0.000    0.000    0.000    0.000 tempfile.py:132(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
        1    0.000    0.000    0.000    0.000 randr.py:631(CreateMode)
        1    0.000    0.000    0.000    0.000 display.py:1024(ConnectionSetupRequest)
        1    0.000    0.000    0.000    0.000 core.py:2702(MaskedArray)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:210(_set_array_types)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:59(<genexpr>)
       10    0.000    0.000    0.000    0.000 typing.py:849(__init_subclass__)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 request.py:1379(CreateCursor)
       56    0.000    0.000    0.000    0.000 rq.py:913(parse_binary)
        1    0.000    0.000    0.000    0.000 _base.py:319(Controller)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        1    0.000    0.000    0.000    0.000 randr.py:1121(OutputChangeNotify)
      276    0.000    0.000    0.000    0.000 rq.py:1301(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
        1    0.000    0.000    0.000    0.000 request.py:48(ChangeWindowAttributes)
        1    0.000    0.000    0.000    0.000 request.py:1706(SetPointerMapping)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 request.py:866(CreateGC)
        1    0.000    0.000    0.000    0.000 enum.py:835(__or__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      303    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 core.py:2970(__array_finalize__)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.000    0.000 numerictypes.py:443(_construct_lookups)
        1    0.000    0.000    0.000    0.000 xinput.py:487(XIPassiveGrabDevice)
       23    0.000    0.000    0.000    0.000 typing.py:113(_type_check)
        3    0.000    0.000    0.000    0.000 __init__.py:135(requiresPillow)
       18    0.000    0.000    0.000    0.000 posixpath.py:75(join)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:433(__enter__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:202(_add_array_type)
      215    0.000    0.000    0.000    0.000 rq.py:154(__init__)
       94    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       13    0.000    0.000    0.000    0.000 overrides.py:28(set_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 request.py:663(QueryFont)
       12    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 core.py:2813(__new__)
        1    0.000    0.000    0.000    0.000 randr.py:919(GetCrtcTransform)
      128    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       23    0.000    0.000    0.000    0.000 os.py:754(encode)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
        2    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
       72    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        2    0.000    0.000    0.000    0.000 composite.py:241(init)
        2    0.000    0.000    0.000    0.000 unix_connect.py:96(_get_unix_socket)
        1    0.000    0.000    0.000    0.000 typing.py:1600(TextIO)
       79    0.000    0.000    0.000    0.000 overrides.py:126(decorator)
        1    0.000    0.000    0.000    0.000 security.py:67(SecurityGenerateAuthorization)
        1    0.000    0.000    0.000    0.000 xinput.py:429(XIGrabDevice)
        1    0.000    0.000    0.000    0.000 __init__.py:327(_sanity_check)
        1    0.000    0.000    0.000    0.000 enum.py:798(_missing_)
       79    0.000    0.000    0.000    0.000 overrides.py:115(set_module)
        1    0.000    0.000    0.000    0.000 request.py:1072(GetImage)
      112    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       50    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1185(__init__)
        2    0.000    0.000    0.000    0.000 xinerama.py:216(init)
        1    0.000    0.000    0.000    0.000 request.py:57(GetWindowAttributes)
        1    0.000    0.000    0.000    0.000 enum.py:805(_create_pseudo_member_)
        2    0.000    0.000    0.000    0.000 datetime.py:646(__neg__)
        2    0.000    0.000    0.000    0.000 record.py:275(init)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
      155    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 shape.py:124(QueryExtents)
        2    0.000    0.000    0.000    0.000 unix_connect.py:57(get_display)
        1    0.000    0.000    0.000    0.000 ge.py:35(GEQueryVersion)
        1    0.000    0.000    0.000    0.000 os.py:619(get_exec_path)
      185    0.000    0.000    0.000    0.000 display.py:376(keysym_to_keycode)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 __init__.py:36(Events)
        6    0.000    0.000    0.000    0.000 __init__.py:165(raisePyAutoGUIImageNotFoundException)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 randr.py:747(SetCrtcConfig)
        1    0.000    0.000    0.000    0.000 inspect.py:2407(_ParameterKind)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:16(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 __init__.py:50(<dictcomp>)
        1    0.000    0.000    0.000    0.000 record.py:253(disable_context)
        1    0.000    0.000    0.000    0.000 xtest.py:29(GetVersion)
       36    0.000    0.000    0.000    0.000 sre_parse.py:897(fix_flags)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        7    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 core.py:3119(view)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        2    0.000    0.000    0.000    0.000 dpms.py:225(init)
        1    0.000    0.000    0.000    0.000 randr.py:431(GetOutputInfo)
       36    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:340(__getattr__)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
      298    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 display.py:159(close)
        1    0.000    0.000    0.000    0.000 linalg.py:73(_determine_error_states)
        1    0.000    0.000    0.000    0.000 security.py:43(QueryVersion)
        1    0.000    0.000    0.000    0.000 X.py:23(<module>)
        9    0.000    0.000    0.000    0.000 typing.py:535(__init__)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
       73    0.000    0.000    0.000    0.000 _base.py:69(__repr__)
        1    0.000    0.000    0.000    0.000 damage.py:56(QueryVersion)
        1    0.000    0.000    0.000    0.000 randr.py:864(GetScreenResourcesCurrent)
        1    0.000    0.000    0.000    0.000 shape.py:31(NotifyEventData)
        2    0.000    0.000    0.000    0.000 xtest.py:118(init)
        1    0.000    0.000    0.000    0.000 request.py:1229(AllocNamedColor)
        1    0.000    0.000    0.000    0.000 request.py:1353(LookupColor)
        1    0.000    0.000    0.000    0.000 typing.py:1586(BinaryIO)
        1    0.000    0.000    0.000    0.000 enum.py:877(_decompose)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 xinput.py:183(XIQueryVersion)
        1    0.000    0.000    0.000    0.000 randr.py:398(GetScreenResources)
        1    0.000    0.000    0.000    0.000 randr.py:591(GetOutputProperty)
        1    0.000    0.000    0.000    0.000 xfixes.py:42(QueryVersion)
        1    0.000    0.000    0.000    0.000 request.py:695(QueryTextExtents)
        1    0.000    0.000    0.000    0.000 request.py:1204(AllocColor)
        1    0.000    0.000    0.000    0.000 display.py:257(close)
       58    0.000    0.000    0.000    0.000 rq.py:37(decode_string)
       86    0.000    0.000    0.000    0.000 rq.py:166(__init__)
       12    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
        3    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      140    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:73(_add_types)
        2    0.000    0.000    0.000    0.000 datetime.py:1187(__new__)
        1    0.000    0.000    0.000    0.000 composite.py:45(QueryVersion)
        1    0.000    0.000    0.000    0.000 randr.py:304(GetScreenInfo)
        1    0.000    0.000    0.000    0.000 request.py:1277(AllocColorPlanes)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:64(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:65(Events)
        1    0.000    0.000    0.000    0.000 randr.py:242(SetScreenConfig)
        1    0.000    0.000    0.000    0.000 randr.py:711(GetCrtcInfo)
        1    0.000    0.000    0.000    0.000 randr.py:989(SetPanning)
        1    0.000    0.000    0.000    0.000 xinerama.py:44(QueryVersion)
        1    0.000    0.000    0.000    0.000 event.py:38(KeyButtonPointer)
        1    0.000    0.000    0.000    0.000 error.py:83(XResourceError)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 arrayprint.py:458(decorating_function)
        1    0.000    0.000    0.000    0.000 randr.py:204(_1_0SetScreenConfig)
        1    0.000    0.000    0.000    0.000 randr.py:954(GetPanning)
        1    0.000    0.000    0.000    0.000 shape.py:178(GetRectangles)
        1    0.000    0.000    0.000    0.000 request.py:1457(QueryExtension)
        1    0.000    0.000    0.000    0.000 rq.py:1345(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:129(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 dpms.py:54(DPMSGetVersion)
        1    0.000    0.000    0.000    0.000 request.py:203(QueryTree)
        1    0.000    0.000    0.000    0.000 request.py:284(GetProperty)
        1    0.000    0.000    0.000    0.000 request.py:375(GrabPointer)
        1    0.000    0.000    0.000    0.000 request.py:1055(PutImage)
        1    0.000    0.000    0.000    0.000 rq.py:1213(TextElements8)
        1    0.000    0.000    0.000    0.000 core.py:6454(__array_finalize__)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1805(chararray)
        1    0.000    0.000    0.000    0.000 record.py:193(EnableContext)
        1    0.000    0.000    0.000    0.000 request.py:181(GetGeometry)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 error.py:62(XError)
       75    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 core.py:6630(__init__)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(type_aliases_gen)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        1    0.000    0.000    0.000    0.000 _base.py:33(Button)
        1    0.000    0.000    0.000    0.000 request.py:1255(AllocColorCells)
       53    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        2    0.000    0.000    0.000    0.000 typing.py:1180(__class_getitem__)
       89    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
       16    0.000    0.000    0.000    0.000 _base.py:139(from_char)
        1    0.000    0.000    0.000    0.000 queue.py:121(put)
